日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible ads for quality Impressions,Quality Ads,Non-quality Ads,Quality Ads rate,Non-quality Ads rate
20260127,09,朱光宁,3149,稷下書院-exchange,14748,MW_320x100_置底(PB)_稷下書院,,,,"20,972","20,972","10,137","10,835",48.34%,51.66%
20260127,09,巨思文化股份有限公司,3053,數位時代_HB,14764,MW_置底創意_(非展開)_數位時代_HB,,知名媒體,,188,188,177,11,94.15%,5.85%
20260127,09,中天電視股份有限公司,3282,中天新聞網-exchange,14980,CF_970x250_內頁_PC置頂橫幅-中天新聞網-exchange,,知名媒體,,24,24,17,7,70.83%,29.17%
20260127,09,黃俊德,3298,Disp BBS_2023_Exchange,15013,CF_300x250_Disp BBS_2023_Exchange,,知名媒體,,6,6,0,6,0.00%,100.00%
20260127,09,今健康新媒體有限公司,3326,今健康-Mobile,15217,MW_置底創意(非展開)-今健康-Mobile,,知名媒體,,6,6,0,6,0.00%,100.00%
20260127,09,曾憲敏,3327,85小說網_創意,15227,MW-300X250_85小說網_隨身影音PB,,,,12,12,8,4,66.67%,33.33%
20260127,09,曾憲敏,3327,85小說網_創意,15228,MW-創意-85小說網,,,,336,336,255,81,75.89%,24.11%
20260127,09,千晶文化事業股份有限公司,3336,Beauty 美人圈,15254,MW_置底創意(非展開)_ Beauty 美人圈,,知名媒體,,"2,416","2,416","2,373",43,98.22%,1.78%
20260127,09,中天電視股份有限公司,3282,中天新聞網-exchange,15859,CF_336x280_內頁_PC右側互動看板B-中天新聞網-exchange,,知名媒體,,134,134,103,31,76.87%,23.13%
20260127,09,CBROOT LTD,3352,西瓜卡通-exchange,15969,CF_728x90_影音內容_西瓜卡通-exchange,,,,6,6,6,0,100.00%,0.00%
20260127,09,CBROOT LTD,3352,西瓜卡通-exchange,15970,CF_160x600_影音內容_西瓜卡通-exchange,,,,152,152,151,1,99.34%,0.66%
20260127,09,時報資訊股份有限公司,2817,旺得富,16908,CF_970x250_MiddleBanner_旺得富,,知名媒體,,25,25,25,0,100.00%,0.00%
20260127,09,時報資訊股份有限公司,2817,旺得富,16910,CF_300x250_Billboard_1s_旺得富,,知名媒體,,30,30,29,1,96.67%,3.33%
20260127,09,時報資訊股份有限公司,2817,旺得富,16911,CF_300x250_Billboard_2nd_旺得富,,知名媒體,,12,12,12,0,100.00%,0.00%
20260127,09,朱光宁,3360,提莫書屋-exchange,16957,MW_336x280banner_提莫書屋_exchange,,,,"13,196","13,196","9,488","3,708",71.90%,28.10%
20260127,09,朱光宁,3361,提莫書屋-mobile,16958,MW_置底創意_提莫書屋-mobile,,,,30,30,18,12,60.00%,40.00%
20260127,09,朱光宁,3361,提莫書屋-mobile,16959,MW_320x480_文中創意_提莫書屋-mobile,,,,48,48,33,15,68.75%,31.25%
20260127,09,欣發現股份有限公司,3365,Hami任務牆-mobile,16969,MW_置底創意_Hami任務牆,,知名媒體,,829,829,704,125,84.92%,15.08%
20260127,09,欣發現股份有限公司,3364,女子學-mobile,16972,MW_置底創意_女子學,antifroud,,,"2,175","2,175","2,001",174,92.00%,8.00%
20260127,09,欣發現股份有限公司,3363,大人物-mobile,16973,MW_置底創意_大人物,,知名媒體,,180,180,143,37,79.44%,20.56%
20260127,09,欣發現股份有限公司,3362,妞新聞-mobile,16974,MW_置底創意_妞新聞,,知名媒體,,18,18,17,1,94.44%,5.56%
20260127,09,第一網站股份有限公司,2783,漫畫櫃manhuagui,17027,MW_320x480_蓋版_漫畫櫃manhuagui,,,,503,503,446,57,88.67%,11.33%
20260127,09,艾得基客行銷顧問股份有限公司,3373,良醫健康網,17092,MW_置底創意_良醫健康網,,知名媒體,,36,36,32,4,88.89%,11.11%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17173,CF_970x250_超級橫幅_Mobile01_HB,,知名媒體,,6,6,6,0,100.00%,0.00%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17174,CF_970x250_超級橫幅_置底_Mobile01_HB,,知名媒體,,24,24,18,6,75.00%,25.00%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17175,CF_970x90_橫幅Banner_Mobile01_HB,,知名媒體,,"1,932","1,932","1,388",544,71.84%,28.16%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17176,CF_728x90_內頁橫幅Banner_7F_Mobile01_HB,,知名媒體,,142,142,93,49,65.49%,34.51%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17178,CF_300x250_頻道頁_大看板_Mobile01_HB,,知名媒體,,117,117,85,32,72.65%,27.35%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17179,CF_300x250_熱門大看板_Mobile01_HB,,知名媒體,,"2,273","2,273","1,642",631,72.24%,27.76%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17180,CF_300x250_置底看板左_Mobile01_HB,,知名媒體,,812,812,638,174,78.57%,21.43%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17181,CF_300x250_置底看板中_Mobile01_HB,,知名媒體,,804,804,632,172,78.61%,21.39%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17182,CF_300x250_置底看板右_Mobile01_HB,,知名媒體,,16,16,8,8,50.00%,50.00%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17183,CF_300x600_大摩天_Mobile01_HB,,知名媒體,,"1,259","1,259",978,281,77.68%,22.32%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17184,CF_970x90_特殊banner_Mobile01_HB,,知名媒體,,8,8,1,7,12.50%,87.50%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17185,CF_300x250_特殊看板右上_Mobile01_HB,,知名媒體,,8,8,1,7,12.50%,87.50%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17192,CF_300x250_特殊置底看板左_Mobile01_HB,,知名媒體,,10,10,4,6,40.00%,60.00%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17193,CF_300x250_特殊置底看板中_Mobile01_HB,,知名媒體,,10,10,4,6,40.00%,60.00%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17195,CF_300x600_特殊大摩天_Mobile01_HB,,知名媒體,,10,10,3,7,30.00%,70.00%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17196,CF_160x600_門神_right_Mobile01_HB,,知名媒體,,208,208,132,76,63.46%,36.54%
20260127,09,詠勝科技有限公司,3385,Mobile01_HB,17197,CF_160x600_門神_left_Mobile01_HB,,知名媒體,,208,208,135,73,64.90%,35.10%
20260127,09,朱光宁,3268,稷下書院-mobile,17207,MW_320x480_蓋版_稷下書院-mobile,,,,"3,967","3,967","2,394","1,573",60.35%,39.65%
20260127,09,李立娟,3395,vivi0視頻-exchange,17293,CF_336x280_Banner_vivi01視頻-exchange,antifroud,,,"38,394","38,394","34,424","3,970",89.66%,10.34%
20260127,09,李立娟,3395,vivi0視頻-exchange,17294,MW_336x280_Banner_vivi01視頻-exchange,antifroud,,,"46,541","46,541","42,710","3,831",91.77%,8.23%
20260127,09,李立娟,3395,vivi0視頻-exchange,17300,MW_320x100_置底(PB)_vivi01視頻-exchange,antifroud,,,"71,004","71,004","66,040","4,964",93.01%,6.99%
20260127,09,李立娟,3397,趣聞圖說-exchange,17309,MW_336x280_文中Banner_趣聞圖說-exchange,,,,12,12,8,4,66.67%,33.33%
20260127,09,李立娟,3396,趣聞圖說-Mobile,17923,MW_置底創意(展開)_趣聞圖說-Mobile,,,,40,40,36,4,90.00%,10.00%
20260127,09,第一網站股份有限公司,2768,czbooks,17927,MW_置底創意_czbook,,,,"12,292","12,292","7,210","5,082",58.66%,41.34%
20260127,09,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18003,CF_300x250_互動看板2_工商時報-exchange,,知名媒體,,12,12,10,2,83.33%,16.67%
20260127,09,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18007,CF_336x280_文末右側看板_工商時報-exchange,,知名媒體,,94,94,76,18,80.85%,19.15%
20260127,09,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18008,CF_336x280_文末左側看板_工商時報-exchange,,知名媒體,,70,70,56,14,80.00%,20.00%
20260127,09,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18014,MW_300x250_文末Banner1_工商時報-exchange,,知名媒體,,40,40,39,1,97.50%,2.50%
20260127,09,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18015,MW_300x250_文末Banner2_工商時報-exchange,,知名媒體,,172,172,163,9,94.77%,5.23%
20260127,09,第一網站股份有限公司,3440,fsa_passback_first,18201,CF_336x280_fsa_passback_first,,,,"1,682","1,682","1,123",559,66.77%,33.23%
20260127,09,第一網站股份有限公司,3440,fsa_passback_first,18202,CF_300x250_fsa_passback_first,,,,"2,264","2,264","1,691",573,74.69%,25.31%
