日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Reduced Value Inventory (RVI) Ads,Incentivized Browsing (RVI) Ads,Proxy Server (RVI) Ads,seeThrough Ads,Invisible URL Ads,Total Eligible Ads for Site Quality,% Reduced Value Inventory (RVI) Ads,% seeThrough Ads,Invisible URL rate,% Incentivized Browsing (RVI) Ads,% Proxy Server (RVI) Ads
20260126,16,中華電視股份有限公司,3389,華視-mobile,17230,MW_置底創意(非展開)_華視-mobile,,知名媒體,,6,0,0,0,4,0,6,0.00%,66.67%,0.00%,0.00%,0.00%
20260126,16,李立娟,3395,vivi0視頻-exchange,17293,CF_336x280_Banner_vivi01視頻-exchange,antifroud,,,"32,562",109,0,109,"24,023",0,32562,0.33%,73.78%,0.00%,0.00%,0.33%
20260126,16,李立娟,3395,vivi0視頻-exchange,17294,MW_336x280_Banner_vivi01視頻-exchange,antifroud,,,"58,485",194,0,194,"42,914",0,58485,0.33%,73.38%,0.00%,0.00%,0.33%
20260126,16,李立娟,3395,vivi0視頻-exchange,17299,MW_300x250_蓋板(PB)-vivi01視頻-exchange,,,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,李立娟,3395,vivi0視頻-exchange,17300,MW_320x100_置底(PB)_vivi01視頻-exchange,antifroud,,,"44,201",138,0,138,"32,895",0,44201,0.31%,74.42%,0.00%,0.00%,0.31%
20260126,16,李立娟,3397,趣聞圖說-exchange,17309,MW_336x280_文中Banner_趣聞圖說-exchange,,,,"2,923",36,0,36,"2,920",0,2923,1.23%,99.90%,0.00%,0.00%,1.23%
20260126,16,曾憲敏,601,85小說網_PC,1773,CF-300x250_85小說網_內文1,,,,442,42,0,42,421,0,442,9.50%,95.25%,0.00%,0.00%,9.50%
20260126,16,李立娟,3396,趣聞圖說-Mobile,17923,MW_置底創意(展開)_趣聞圖說-Mobile,,,,18,0,0,0,16,0,18,0.00%,88.89%,0.00%,0.00%,0.00%
20260126,16,第一網站股份有限公司,2768,czbooks,17927,MW_置底創意_czbook,,,,"17,875","5,815",0,"5,815","12,744",0,17875,32.53%,71.30%,0.00%,0.00%,32.53%
20260126,16,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18003,CF_300x250_互動看板2_工商時報-exchange,,知名媒體,,8,0,0,0,7,0,8,0.00%,87.50%,0.00%,0.00%,0.00%
