日期,小時,版位編號,供應商名稱,網站,網站名稱,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads (Viewability),Eligible Ads for Viewability (Viewability),Measured Ads (Viewability),% Measured Ads (Viewability),Viewable Impressions (Viewability),% Viewable Impressions (Viewability),Non-Viewable Ads (Viewability),% Non-Viewable Ads (Viewability),Average Time In View (Sec) (Viewability),Total Tracked Ads (IVT),Eligible Ads for Invalid Traffic (IVT),Invalid Traffic Ads (IVT),Valid Traffic Ads (IVT),General Invalid Traffic (GIVT) Ads (IVT),Sophisticated Invalid Traffic (SIVT) Ads (IVT),Bots (SIVT) Ads (IVT),Domain Spoofing (SIVT) Ads (IVT),Hidden Ads (SIVT) Ads (IVT),% Eligible for Invalid Traffic (IVT),% Invalid Traffic Ads (IVT),% General Invalid Traffic (GIVT) Ads (IVT),% Sophisticated Invalid Traffic (SIVT) Ads (IVT),% Bots (SIVT) Ads (IVT),% Domain Spoofing (SIVT) Ads (IVT),% Hidden Ads (SIVT) Ads (IVT),Total Tracked Ads (SiteQuality),Reduced Value Inventory (RVI) Ads (SiteQuality),Incentivized Browsing (RVI) Ads (SiteQuality),Proxy Server (RVI) Ads (SiteQuality),seeThrough Ads (SiteQuality),Invisible URL Ads (SiteQuality),Total Eligible Ads for Site Quality (SiteQuality),% Reduced Value Inventory (RVI) Ads (SiteQuality),% seeThrough Ads (SiteQuality),Invisible URL rate (SiteQuality),% Incentivized Browsing (RVI) Ads (SiteQuality),% Proxy Server (RVI) Ads (SiteQuality),Total Tracked Ads (BrandSuitability),MFA Ads (BrandSuitability),AD Clutter Ads (BrandSuitability),Total Eligible Ads for Brand Suitability (BrandSuitability),Brand Suitability Passed Ads (BrandSuitability),Brand Suitability Failed Ads (BrandSuitability),% Brand Suitability Passed Ads (BrandSuitability),% Brand Suitability Failed Ads (BrandSuitability),MFA rate (BrandSuitability),AD Clutter rate (BrandSuitability),Total Tracked Ads (QualImpressions),Eligible ads for quality Impressions (QualImpressions),Quality Ads (QualImpressions),Non-quality Ads (QualImpressions),Quality Ads rate (QualImpressions),Non-quality Ads rate (QualImpressions)
20260126,15,13450,曾憲敏,601.0,85小說網_PC,(子)CF_336x280_全量2_85小說網,,,子聯播網,308,152,152,100.00%,130,85.53%,22,14.47%,13.93,308,308,4,304,0,4,4,0,0,100.00%,1.30%,0.00%,1.30%,1.30%,0.00%,0.00%,314,6,0,6,314,0,314,1.91%,100.00%,0.00%,0.00%,1.91%,302,0,0,302,191,111,63.25%,36.75%,0.00%,0.00%,314,314,197,117,62.74%,37.26%
20260126,15,13481,第一網站股份有限公司,2768.0,czbooks,MW_300x250_banner_czbooks,antifroud,,子聯播網,"45,272","22,392","22,392",100.00%,"8,748",39.07%,"13,644",60.93%,2.71,"45,272","45,272",106,"45,166",6,100,100,0,0,100.00%,0.23%,0.01%,0.22%,0.22%,0.00%,0.00%,"45,272","10,954",0,"10,954","34,970",0,"45,272",24.20%,77.24%,0.00%,0.00%,24.20%,"45,272",0,0,"45,272","23,253","22,019",51.36%,48.64%,0.00%,0.00%,"45,272","45,272","23,253","22,019",51.36%,48.64%
20260126,15,13548,第一網站股份有限公司,2910.0,clickme,(子)CF_300x250_banner_clickme(一般),,,子聯播網,778,352,352,100.00%,129,36.65%,223,63.35%,2.71,778,778,23,755,16,7,7,0,0,100.00%,2.96%,2.06%,0.90%,0.90%,0.00%,0.00%,760,106,0,106,745,0,760,13.95%,98.03%,0.00%,0.00%,13.95%,778,0,0,778,471,307,60.54%,39.46%,0.00%,0.00%,778,778,471,307,60.54%,39.46%
20260126,15,13549,第一網站股份有限公司,2910.0,clickme,CF_300x250_banner_clickme(一般),,,,745,396,396,100.00%,39,9.85%,357,90.15%,0.38,745,745,0,745,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,745,154,0,154,555,0,745,20.67%,74.50%,0.00%,0.00%,20.67%,745,0,0,745,470,275,63.09%,36.91%,0.00%,0.00%,745,745,470,275,63.09%,36.91%
20260126,15,13576,第一網站股份有限公司,2916.0,KiKiNote,(子)CF_300x250_banner_kikinote,,知名媒體,子聯播網,"1,866",861,861,100.00%,132,15.33%,729,84.67%,0.48,"1,872","1,872",46,"1,826",17,29,29,0,0,100.00%,2.46%,0.91%,1.55%,1.55%,0.00%,0.00%,"1,890",76,0,76,"1,834",0,"1,890",4.02%,97.04%,0.00%,0.00%,4.02%,"1,872",0,0,"1,872","1,660",212,88.68%,11.32%,0.00%,0.00%,"1,890","1,890","1,675",215,88.62%,11.38%
20260126,15,13848,闇碼科技股份有限公司,2992.0,縮短網址產生器-reurl-exchange,CF_300x250_轉址失敗_最右邊_reurl,,知名媒體,,6,0,0,0.00%,0,0.00%,0,0.00%,0.00,6,6,6,0,0,6,6,0,0,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%,6,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,6,6,0,6,0.00%,100.00%
20260126,15,13856,闇碼科技股份有限公司,2992.0,縮短網址產生器-reurl-exchange,CF_300x250_轉址失敗頁第二塊_reurl,,知名媒體,,6,0,0,0.00%,0,0.00%,0,0.00%,0.00,6,6,6,0,0,6,6,0,0,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%,6,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,6,6,0,6,0.00%,100.00%
20260126,15,13903,第一網站股份有限公司,2768.0,czbooks,(子)CF_300x250_banner_czbooks(直播),antifroud,,子聯播網,"240,645","126,121","126,117",100.00%,"30,641",24.30%,"95,476",75.70%,1.05,"240,645","240,645","1,141","239,504",767,374,374,0,0,100.00%,0.47%,0.32%,0.16%,0.16%,0.00%,0.00%,"240,645","26,801",0,"26,801","233,555",0,"240,645",11.14%,97.05%,0.00%,0.00%,11.14%,"240,645",0,0,"240,645","117,327","123,318",48.76%,51.24%,0.00%,0.00%,"240,645","240,645","117,327","123,318",48.76%,51.24%
20260126,15,14036,第一網站股份有限公司,2768.0,czbooks,MW_320x480_CZBOOKS,antifroud,,,666,317,317,100.00%,139,43.85%,178,56.15%,4.24,666,666,0,666,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,672,235,0,235,486,0,672,34.97%,72.32%,0.00%,0.00%,34.97%,666,0,0,666,363,303,54.50%,45.50%,0.00%,0.00%,672,672,366,306,54.46%,45.54%
20260126,15,1407,陳人鳳,480.0,飛格寵物家族_PC,CF-728X90_上方通欄_飛格寵物家族,,,,26,4,4,100.00%,3,75.00%,1,25.00%,3.75,26,26,7,19,0,7,7,0,0,100.00%,26.92%,0.00%,26.92%,26.92%,0.00%,0.00%,26,4,0,4,22,0,26,15.38%,84.62%,0.00%,0.00%,15.38%,26,0,0,26,15,11,57.69%,42.31%,0.00%,0.00%,26,26,15,11,57.69%,42.31%
20260126,15,1408,陳人鳳,480.0,飛格寵物家族_PC,CF-300X250_內文_飛格寵物家族,,,,86,21,21,100.00%,13,61.90%,8,38.10%,5.70,86,86,22,64,0,22,22,0,0,100.00%,25.58%,0.00%,25.58%,25.58%,0.00%,0.00%,92,0,0,0,89,0,92,0.00%,96.74%,0.00%,0.00%,0.00%,86,0,0,86,55,31,63.95%,36.05%,0.00%,0.00%,92,92,58,34,63.04%,36.96%
20260126,15,14097,東森電視事業股份有限公司,2014.0,東森新聞網,MW_蓋版_東森新聞網,,知名媒體,,"1,893",931,931,100.00%,8,0.86%,923,99.14%,0.13,"1,893","1,893",2,"1,891",0,2,2,0,0,100.00%,0.11%,0.00%,0.11%,0.11%,0.00%,0.00%,"1,893",22,0,22,"1,300",0,"1,893",1.16%,68.67%,0.00%,0.00%,1.16%,"1,893",0,0,"1,893","1,872",21,98.89%,1.11%,0.00%,0.00%,"1,893","1,893","1,872",21,98.89%,1.11%
20260126,15,14210,闇碼科技股份有限公司,3048.0,縮短網址產生器-reurl,MW_文中創意300x250_縮短網址產生器-reurl,,知名媒體,,146,55,55,100.00%,29,52.73%,26,47.27%,2.60,146,146,34,112,13,21,21,0,0,100.00%,23.29%,8.90%,14.38%,14.38%,0.00%,0.00%,146,12,0,12,116,0,146,8.22%,79.45%,0.00%,0.00%,8.22%,146,0,0,146,102,44,69.86%,30.14%,0.00%,0.00%,146,146,102,44,69.86%,30.14%
20260126,15,14221,朱漢崴,3050.0,查電話_exchange,MW_336x280_查電話首頁_最新回報下方 _whocll 查電話,,,,6,3,3,100.00%,2,66.67%,1,33.33%,3.33,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,2,0,2,3,0,6,33.33%,50.00%,0.00%,0.00%,33.33%,6,0,0,6,6,0,100.00%,0.00%,0.00%,0.00%,6,6,6,0,100.00%,0.00%
20260126,15,14258,富盈數據股份有限公司,3059.0,塔科女子,CF_336x280_全網_塔科女子,,知名媒體,,132,69,69,100.00%,34,49.28%,35,50.72%,3.02,132,132,0,132,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,132,55,0,55,76,0,132,41.67%,57.58%,0.00%,0.00%,41.67%,132,0,0,132,132,0,100.00%,0.00%,0.00%,0.00%,132,132,132,0,100.00%,0.00%
20260126,15,14291,CBROOT LTD,3003.0,包子漫畫-exchange,MW_300x250_蓋板(PB)_包子漫畫,,,,235,117,117,100.00%,54,46.15%,63,53.85%,10.00,235,235,0,235,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,235,141,0,141,131,0,235,60.00%,55.74%,0.00%,0.00%,60.00%,229,0,0,229,211,18,92.14%,7.86%,0.00%,0.00%,235,235,217,18,92.34%,7.66%
20260126,15,14472,朱光宁,3152.0,石頭小說-exchange,MW_336x280_Banner_石頭小說,,,,"5,574","2,740","2,740",100.00%,"2,027",73.98%,713,26.02%,7.91,"5,580","5,580",6,"5,574",0,6,6,0,0,100.00%,0.11%,0.00%,0.11%,0.11%,0.00%,0.00%,"5,538","1,429",0,"1,429","4,660",0,"5,538",25.80%,84.15%,0.00%,0.00%,25.80%,"5,550",0,0,"5,550","3,111","2,439",56.05%,43.95%,0.00%,0.00%,"5,598","5,598","3,134","2,464",55.98%,44.02%
20260126,15,14737,朱光宁,3268.0,稷下書院-mobile,MW_置底創意(非展開)_稷下書院-mobile,,,,6,3,3,100.00%,3,100.00%,0,0.00%,6.11,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,2,0,2,5,0,6,33.33%,83.33%,0.00%,0.00%,33.33%,6,0,0,6,5,1,83.33%,16.67%,0.00%,0.00%,6,6,5,1,83.33%,16.67%
20260126,15,14748,朱光宁,3149.0,稷下書院-exchange,MW_320x100_置底(PB)_稷下書院,,,,"19,156","9,420","9,420",100.00%,288,3.06%,"9,132",96.94%,0.11,"19,156","19,156",206,"18,950",128,78,78,0,0,100.00%,1.08%,0.67%,0.41%,0.41%,0.00%,0.00%,"19,120","6,206",0,"6,206","14,136",0,"19,120",32.46%,73.93%,0.00%,0.00%,32.46%,"19,144",0,0,"19,144","9,452","9,692",49.37%,50.63%,0.00%,0.00%,"19,174","19,174","9,468","9,706",49.38%,50.62%
20260126,15,14764,巨思文化股份有限公司,3053.0,數位時代_HB,MW_置底創意_(非展開)_數位時代_HB,,知名媒體,,80,39,39,100.00%,37,94.87%,2,5.13%,27.07,80,80,2,78,0,2,2,0,0,100.00%,2.50%,0.00%,2.50%,2.50%,0.00%,0.00%,80,19,0,19,56,0,80,23.75%,70.00%,0.00%,0.00%,23.75%,80,0,0,80,74,6,92.50%,7.50%,0.00%,0.00%,80,80,74,6,92.50%,7.50%
20260126,15,15228,曾憲敏,3327.0,85小說網_創意,MW-創意-85小說網,,,,403,201,201,100.00%,188,93.53%,13,6.47%,13.12,403,403,0,403,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,409,111,0,111,297,0,409,27.14%,72.62%,0.00%,0.00%,27.14%,391,0,0,391,269,122,68.80%,31.20%,0.00%,0.00%,409,409,284,125,69.44%,30.56%
20260126,15,15254,千晶文化事業股份有限公司,3336.0,Beauty 美人圈,MW_置底創意(非展開)_ Beauty 美人圈,,知名媒體,,510,255,255,100.00%,236,92.55%,19,7.45%,30.49,510,510,0,510,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,516,20,0,20,432,0,516,3.88%,83.72%,0.00%,0.00%,3.88%,516,0,0,516,513,3,99.42%,0.58%,0.00%,0.00%,516,516,513,3,99.42%,0.58%
20260126,15,15859,中天電視股份有限公司,3282.0,中天新聞網-exchange,CF_336x280_內頁_PC右側互動看板B-中天新聞網-exchange,,知名媒體,,"1,296",561,561,100.00%,262,46.70%,299,53.30%,5.93,"1,296","1,296",168,"1,128",118,50,50,0,0,100.00%,12.96%,9.10%,3.86%,3.86%,0.00%,0.00%,"1,320",22,0,22,"1,220",0,"1,320",1.67%,92.42%,0.00%,0.00%,1.67%,"1,302",0,0,"1,302","1,116",186,85.71%,14.29%,0.00%,0.00%,"1,320","1,320","1,134",186,85.91%,14.09%
20260126,15,15970,CBROOT LTD,3352.0,西瓜卡通-exchange,CF_160x600_影音內容_西瓜卡通-exchange,,,,6,3,3,100.00%,0,0.00%,3,100.00%,0.00,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%,6,0,0,6,3,3,50.00%,50.00%,0.00%,0.00%,6,6,3,3,50.00%,50.00%
